x,y
-10, 95.312
-9.9, 95.144
-9.8, 94.928
-9.7, 94.662
-9.6, 94.167
-9.5, 93.543
-9.4, 92.78
-9.3, 91.87
-9.2, 90.835
-9.1, 89.685
-9, 88.433
-8.9, 87.097
-8.8, 85.688
-8.7, 84.218
-8.6, 82.689
-8.5, 81.099
-8.4, 79.441
-8.3, 77.702
-8.2, 75.867
-8.1, 73.923
-8, 71.86
-7.9, 69.675
-7.8, 67.374
-7.7, 64.971
-7.6, 62.487
-7.5, 59.946
-7.4, 57.376
-7.3, 54.799
-7.2, 52.232
-7.1, 49.685
-7, 47.159
-6.9, 44.648
-6.8, 42.139
-6.7, 39.622
-6.6, 37.087
-6.5, 34.53
-6.4, 31.957
-6.3, 29.385
-6.2, 26.842
-6.1, 24.363
-6, 21.993
-5.9, 19.778
-5.8, 17.764
-5.7, 15.994
-5.6, 14.505
-5.5, 13.324
-5.4, 12.467
-5.3, 11.937
-5.2, 11.727
-5.1, 11.816
-5, 12.175
-4.9, 12.762
-4.8, 13.53
-4.7, 14.426
-4.6, 15.391
-4.5, 16.369
-4.4, 17.301
-4.3, 18.134
-4.2, 18.821
-4.1, 19.322
-4, 19.61
-3.9, 19.67
-3.8, 19.498
-3.7, 19.106
-3.6, 18.517
-3.5, 17.762
-3.4, 16.876
-3.3, 15.898
-3.2, 14.859
-3.1, 13.784
-3, 12.687
-2.9, 11.567
-2.8, 10.415
-2.7, 9.212
-2.6, 7.937
-2.5, 6.57
-2.4, 5.101
-2.3, 3.534
-2.2, 1.887
-2.1, 0.199
-2, -1.477
-1.9, -3.073
-1.8, -4.516
-1.7, -5.734
-1.6, -6.663
-1.5, -7.253
-1.4, -7.476
-1.3, -7.327
-1.2, -6.827
-1.1, -6.022
-1, -4.977
-0.9, -3.776
-0.8, -2.509
-0.7, -1.271
-0.6, -0.152
-0.5, 0.772
-0.4, 1.44
-0.3, 1.811
-0.2, 1.871
-0.1, 1.624
-0, 1.101
0.1, 0.349
0.2, -0.572
0.3, -1.592
0.4, -2.639
0.5, -3.642
0.6, -4.54
0.7, -5.282
0.8, -5.829
0.9, -6.159
1, -6.265
1.1, -6.152
1.2, -5.84
1.3, -5.356
1.4, -4.736
1.5, -4.02
1.6, -3.252
1.7, -2.474
1.8, -1.727
1.9, -1.05
2, -0.474
2.1, -0.021
2.2, 0.294
2.3, 0.468
2.4, 0.509
2.5, 0.435
2.6, 0.269
2.7, 0.043
2.8, -0.217
2.9, -0.487
3, -0.754
3.1, -1.016
3.2, -1.287
3.3, -1.595
3.4, -1.975
3.5, -2.467
3.6, -3.107
3.7, -3.921
3.8, -4.915
3.9, -6.074
4, -7.359
4.1, -8.709
4.2, -10.045
4.3, -11.278
4.4, -12.316
4.5, -13.077
4.6, -13.49
4.7, -13.503
4.8, -13.085
4.9, -12.225
5, -10.928
5.1, -9.21
5.2, -7.097
5.3, -4.618
5.4, -1.804
5.5, 1.309
5.6, 4.682
5.7, 8.267
5.8, 12.002
5.9, 15.813
6, 19.608
6.1, 23.287
6.2, 26.739
6.3, 29.855
6.4, 32.538
6.5, 34.711
6.6, 36.33
6.7, 37.385
6.8, 37.911
6.9, 37.982
7, 37.708
7.1, 37.229
7.2, 36.702
7.3, 36.286
7.4, 36.136
7.5, 36.385
7.6, 37.138
7.7, 38.464
7.8, 40.392
7.9, 42.911
8, 45.975
8.1, 49.502
8.2, 53.391
8.3, 57.523
8.4, 61.773
8.5, 66.022
8.6, 70.163
8.7, 74.106
8.8, 77.784
8.9, 81.152
9, 84.19
9.1, 86.893
9.2, 89.265
9.3, 91.324
9.4, 93.089
9.5, 94.548
9.6, 95.739
9.7, 96.694
9.8, 97.203
9.9, 97.626
10, 97.962
