x,y
-10, 104.842
-9.9, 68.993
-9.8, 156.873
-9.7, 111.895
-9.6, 106.781
-9.5, 124.536
-9.4, 137.304
-9.3, 136.895
-9.2, 121.604
-9.1, 66.201
-9, 58.432
-8.9, 51.764
-8.8, 137.095
-8.7, 79.045
-8.6, 97.64
-8.5, 50.756
-8.4, 61.413
-8.3, 94
-8.2, 99.92
-8.1, 116.024
-8, 89.081
-7.9, 125.432
-7.8, 91.199
-7.7, 98.132
-7.6, 99.727
-7.5, 79.408
-7.4, 29.977
-7.3, 105.822
-7.2, 101.902
-7.1, 97.86
-7, 24.9
-6.9, 99.954
-6.8, 96.908
-6.7, 26.591
-6.6, 85.035
-6.5, 48.354
-6.4, 78.283
-6.3, 20.939
-6.2, 36.911
-6.1, 13.269
-6, 1.454
-5.9, 31.929
-5.8, 37.804
-5.7, 11.155
-5.6, 55.023
-5.5, 47.868
-5.4, 38.252
-5.3, 5.762
-5.2, 40.251
-5.1, 1.581
-5, -1.502
-4.9, 69.757
-4.8, 18.549
-4.7, -8.108
-4.6, 43.273
-4.5, 77.59
-4.4, 18.102
-4.3, 9.427
-4.2, 47.318
-4.1, 72.868
-4, 0.249
-3.9, 1.463
-3.8, -19.982
-3.7, -12.814
-3.6, -26.182
-3.5, 58.299
-3.4, 1.706
-3.3, -25.797
-3.2, 11.369
-3.1, 54.501
-3, -3.502
-2.9, 62.656
-2.8, -34.892
-2.7, 32.374
-2.6, 46.883
-2.5, 25.115
-2.4, 2.231
-2.3, -27.852
-2.2, 3.882
-2.1, 5.427
-2, -20.438
-1.9, 53.626
-1.8, -16.8
-1.7, 47.163
-1.6, 55.535
-1.5, -22.608
-1.4, 22.623
-1.3, 17.771
-1.2, -6.028
-1.1, -19.771
-1, -31.207
-0.9, 28.756
-0.8, 48.521
-0.7, 48.968
-0.6, 22.535
-0.5, 10.856
-0.4, 29.271
-0.3, 9.8
-0.2, -38.914
-0.1, 15.024
-0, 43.746
0.1, 45.917
0.2, -27.161
0.3, -25.036
0.4, -26.658
0.5, -24.627
0.6, -14.363
0.7, -14.966
0.8, -6.752
0.9, 3.195
1, 43.191
1.1, 18.506
1.2, -31.025
1.3, 46.991
1.4, -14.153
1.5, 35.523
1.6, -34.14
1.7, 23.728
1.8, 21.709
1.9, 7.492
2, -10.768
2.1, -23.184
2.2, 32.058
2.3, 15.261
2.4, 32.44
2.5, 17.292
2.6, 41.01
2.7, -37.92
2.8, 47.484
2.9, 50.634
3, -6.459
3.1, -20.804
3.2, -31.216
3.3, -38.379
3.4, 28.282
3.5, -8.147
3.6, 14.39
3.7, 33.662
3.8, 1.899
3.9, 56.53
4, -39.015
4.1, -13.868
4.2, 20.4
4.3, -23.53
4.4, 39.076
4.5, 23.532
4.6, 59.397
4.7, 51.842
4.8, 23.007
4.9, 3.642
5, 10.096
5.1, 23.315
5.2, -3.204
5.3, 48.352
5.4, -29.263
5.5, 23.432
5.6, 61.235
5.7, 40.493
5.8, 14.217
5.9, 58.801
6, 10.317
6.1, 72.729
6.2, 1.793
6.3, 7.998
6.4, 45.771
6.5, 40.455
6.6, 80.066
6.7, 34.964
6.8, 17.315
6.9, -0.343
7, -6.184
7.1, 85.797
7.2, 73.243
7.3, 42.808
7.4, 70.853
7.5, 57.98
7.6, 81.032
7.7, 81.138
7.8, 86.635
7.9, 5.441
8, 30.883
8.1, 59.986
8.2, 96.272
8.3, 70.264
8.4, 66.474
8.5, 75.451
8.6, 29.362
8.7, 12.445
8.8, 96.652
8.9, 105.187
9, 79.213
9.1, 42.767
9.2, 29.403
9.3, 113.943
9.4, 82.115
9.5, 50.696
9.6, 35.169
9.7, 45.321
9.8, 74.632
9.9, 59.136
10, 90.394
