x,y
-100,10201
-99.9,10180.81
-99.8,10160.64
-99.7,10140.49
-99.6,10120.36
-99.5,10100.25
-99.4,10080.16
-99.3,10060.09
-99.2,10040.04
-99.1,10020.01
-99,10000
-98.9,9980.01
-98.8,9960.04
-98.7,9940.09
-98.6,9920.16
-98.5,9900.25
-98.4,9880.36
-98.3,9860.49
-98.2,9840.64
-98.1,9820.81
-98,9801
-97.9,9781.21
-97.8,9761.44
-97.7,9741.69
-97.6,9721.96
-97.5,9702.25
-97.4,9682.56
-97.3,9662.89
-97.2,9643.24
-97.1,9623.61
-97,9604
-96.9,9584.41
-96.8,9564.84
-96.7,9545.29
-96.6,9525.76
-96.5,9506.25
-96.4,9486.76
-96.3,9467.29
-96.2,9447.84
-96.1,9428.41
-96,9409
-95.9,9389.61
-95.8,9370.24
-95.7,9350.89
-95.6,9331.56
-95.5,9312.25
-95.4,9292.96
-95.3,9273.69
-95.2,9254.44
-95.1,9235.21
-95,9216
-94.9,9196.81
-94.8,9177.64
-94.7,9158.49
-94.6,9139.36
-94.5,9120.25
-94.4,9101.16
-94.3,9082.09
-94.2,9063.04
-94.1,9044.01
-94,9025
-93.9,9006.01
-93.8,8987.04
-93.7,8968.09
-93.6,8949.16
-93.5,8930.25
-93.4,8911.36
-93.3,8892.49
-93.2,8873.64
-93.1,8854.81
-93,8836
-92.9,8817.21
-92.8,8798.44
-92.7,8779.69
-92.6,8760.96
-92.5,8742.25
-92.4,8723.56
-92.3,8704.89
-92.2,8686.24
-92.1,8667.61
-92,8649
-91.9,8630.41
-91.8,8611.84
-91.7,8593.29
-91.6,8574.76
-91.5,8556.25
-91.4,8537.76
-91.3,8519.29
-91.2,8500.84
-91.1,8482.41
-91,8464
-90.9,8445.61
-90.8,8427.24
-90.7,8408.89
-90.6,8390.56
-90.5,8372.25
-90.4,8353.96
-90.3,8335.69
-90.2,8317.44
-90.1,8299.21
-90,8281
-89.9,8262.81
-89.8,8244.64
-89.7,8226.49
-89.6,8208.36
-89.5,8190.25
-89.4,8172.16
-89.3,8154.09
-89.2,8136.04
-89.1,8118.01
-89,8100
-88.9,8082.01
-88.8,8064.04
-88.7,8046.09
-88.6,8028.16
-88.5,8010.25
-88.4,7992.36
-88.3,7974.49
-88.2,7956.64
-88.1,7938.81
-88,7921
-87.9,7903.21
-87.8,7885.44
-87.7,7867.69
-87.6,7849.96
-87.5,7832.25
-87.4,7814.56
-87.3,7796.89
-87.2,7779.24
-87.1,7761.61
-87,7744
-86.9,7726.41
-86.8,7708.84
-86.7,7691.29
-86.6,7673.76
-86.5,7656.25
-86.4,7638.76
-86.3,7621.29
-86.2,7603.84
-86.1,7586.41
-86,7569
-85.9,7551.61
-85.8,7534.24
-85.7,7516.89
-85.6,7499.56
-85.5,7482.25
-85.4,7464.96
-85.3,7447.69
-85.2,7430.44
-85.1,7413.21
-85,7396
-84.9,7378.81
-84.8,7361.64
-84.7,7344.49
-84.6,7327.36
-84.5,7310.25
-84.4,7293.16
-84.3,7276.09
-84.2,7259.04
-84.1,7242.01
-84,7225
-83.9,7208.01
-83.8,7191.04
-83.7,7174.09
-83.6,7157.16
-83.5,7140.25
-83.4,7123.36
-83.3,7106.49
-83.2,7089.64
-83.1,7072.81
-83,7056
-82.9,7039.21
-82.8,7022.44
-82.7,7005.69
-82.6,6988.96
-82.5,6972.25
-82.4,6955.56
-82.3,6938.89
-82.2,6922.24
-82.1,6905.61
-82,6889
-81.9,6872.41
-81.8,6855.84
-81.7,6839.29
-81.6,6822.76
-81.5,6806.25
-81.4,6789.76
-81.3,6773.29
-81.2,6756.84
-81.1,6740.41
-81,6724
-80.9,6707.61
-80.8,6691.24
-80.7,6674.89
-80.6,6658.56
-80.5,6642.25
-80.4,6625.96
-80.3,6609.69
-80.2,6593.44
-80.1,6577.21
-80,6561
-79.9,6544.81
-79.8,6528.64
-79.7,6512.49
-79.6,6496.36
-79.5,6480.25
-79.4,6464.16
-79.3,6448.09
-79.2,6432.04
-79.1,6416.01
-79,6400
-78.9,6384.01
-78.8,6368.04
-78.7,6352.09
-78.6,6336.16
-78.5,6320.25
-78.4,6304.36
-78.3,6288.49
-78.2,6272.64
-78.1,6256.81
-78,6241
-77.9,6225.21
-77.8,6209.44
-77.7,6193.69
-77.6,6177.96
-77.5,6162.25
-77.4,6146.56
-77.3,6130.89
-77.2,6115.24
-77.1,6099.61
-77,6084
-76.9,6068.41
-76.8,6052.84
-76.7,6037.29
-76.6,6021.76
-76.5,6006.25
-76.4,5990.76
-76.3,5975.29
-76.2,5959.84
-76.1,5944.41
-76,5929
-75.9,5913.61
-75.8,5898.24
-75.7,5882.89
-75.6,5867.56
-75.5,5852.25
-75.4,5836.96
-75.3,5821.69
-75.2,5806.44
-75.1,5791.21
-75,5776
-74.9,5760.81
-74.8,5745.64
-74.7,5730.49
-74.6,5715.36
-74.5,5700.25
-74.4,5685.16
-74.3,5670.09
-74.2,5655.04
-74.1,5640.01
-74,5625
-73.9,5610.01
-73.8,5595.04
-73.7,5580.09
-73.6,5565.16
-73.5,5550.25
-73.4,5535.36
-73.3,5520.49
-73.2,5505.64
-73.1,5490.81
-73,5476
-72.9,5461.21
-72.8,5446.44
-72.7,5431.69
-72.6,5416.96
-72.5,5402.25
-72.4,5387.56
-72.3,5372.89
-72.2,5358.24
-72.1,5343.61
-72,5329
-71.9,5314.41
-71.8,5299.84
-71.7,5285.29
-71.6,5270.76
-71.5,5256.25
-71.4,5241.76
-71.3,5227.29
-71.2,5212.84
-71.1,5198.41
-71,5184
-70.9,5169.61
-70.8,5155.24
-70.7,5140.89
-70.6,5126.56
-70.5,5112.25
-70.4,5097.96
-70.3,5083.69
-70.2,5069.44
-70.1,5055.21
-70,5041
-69.9,5026.81
-69.8,5012.64
-69.7,4998.49
-69.6,4984.36
-69.5,4970.25
-69.4,4956.16
-69.3,4942.09
-69.2,4928.04
-69.1,4914.01
-69,4900
-68.9,4886.01
-68.8,4872.04
-68.7,4858.09
-68.6,4844.16
-68.5,4830.25
-68.4,4816.36
-68.3,4802.49
-68.2,4788.64
-68.1,4774.81
-68,4761
-67.9,4747.21
-67.8,4733.44
-67.7,4719.69
-67.6,4705.96
-67.5,4692.25
-67.4,4678.56
-67.3,4664.89
-67.2,4651.24
-67.1,4637.61
-67,4624
-66.9,4610.41
-66.8,4596.84
-66.7,4583.29
-66.6,4569.76
-66.5,4556.25
-66.4,4542.76
-66.3,4529.29
-66.2,4515.84
-66.1,4502.41
-66,4489
-65.9,4475.61
-65.8,4462.24
-65.7,4448.89
-65.6,4435.56
-65.5,4422.25
-65.4,4408.96
-65.3,4395.69
-65.2,4382.44
-65.1,4369.21
-65,4356
-64.9,4342.81
-64.8,4329.64
-64.7,4316.49
-64.6,4303.36
-64.5,4290.25
-64.4,4277.16
-64.3,4264.09
-64.2,4251.04
-64.1,4238.01
-64,4225
-63.9,4212.01
-63.8,4199.04
-63.7,4186.09
-63.6,4173.16
-63.5,4160.25
-63.4,4147.36
-63.3,4134.49
-63.2,4121.64
-63.1,4108.81
-63,4096
-62.9,4083.21
-62.8,4070.44
-62.7,4057.69
-62.6,4044.96
-62.5,4032.25
-62.4,4019.56
-62.3,4006.89
-62.2,3994.24
-62.1,3981.61
-62,3969
-61.9,3956.41
-61.8,3943.84
-61.7,3931.29
-61.6,3918.76
-61.5,3906.25
-61.4,3893.76
-61.3,3881.29
-61.2,3868.84
-61.1,3856.41
-61,3844
-60.9,3831.61
-60.8,3819.24
-60.7,3806.89
-60.6,3794.56
-60.5,3782.25
-60.4,3769.96
-60.3,3757.69
-60.2,3745.44
-60.1,3733.21
-60,3721
-59.9,3708.81
-59.8,3696.64
-59.7,3684.49
-59.6,3672.36
-59.5,3660.25
-59.4,3648.16
-59.3,3636.09
-59.2,3624.04
-59.1,3612.01
-59,3600
-58.9,3588.01
-58.8,3576.04
-58.7,3564.09
-58.6,3552.16
-58.5,3540.25
-58.4,3528.36
-58.3,3516.49
-58.2,3504.64
-58.1,3492.81
-58,3481
-57.9,3469.21
-57.8,3457.44
-57.7,3445.69
-57.6,3433.96
-57.5,3422.25
-57.4,3410.56
-57.3,3398.89
-57.2,3387.24
-57.1,3375.61
-57,3364
-56.9,3352.41
-56.8,3340.84
-56.7,3329.29
-56.6,3317.76
-56.5,3306.25
-56.4,3294.76
-56.3,3283.29
-56.2,3271.84
-56.1,3260.41
-56,3249
-55.9,3237.61
-55.8,3226.24
-55.7,3214.89
-55.6,3203.56
-55.5,3192.25
-55.4,3180.96
-55.3,3169.69
-55.2,3158.44
-55.1,3147.21
-55,3136
-54.9,3124.81
-54.8,3113.64
-54.7,3102.49
-54.6,3091.36
-54.5,3080.25
-54.4,3069.16
-54.3,3058.09
-54.2,3047.04
-54.1,3036.01
-54,3025
-53.9,3014.01
-53.8,3003.04
-53.7,2992.09
-53.6,2981.16
-53.5,2970.25
-53.4,2959.36
-53.3,2948.49
-53.2,2937.64
-53.1,2926.81
-53,2916
-52.9,2905.21
-52.8,2894.44
-52.7,2883.69
-52.6,2872.96
-52.5,2862.25
-52.4,2851.56
-52.3,2840.89
-52.2,2830.24
-52.1,2819.61
-52,2809
-51.9,2798.41
-51.8,2787.84
-51.7,2777.29
-51.6,2766.76
-51.5,2756.25
-51.4,2745.76
-51.3,2735.29
-51.2,2724.84
-51.1,2714.41
-51,2704
-50.9,2693.61
-50.8,2683.24
-50.7,2672.89
-50.6,2662.56
-50.5,2652.25
-50.4,2641.96
-50.3,2631.69
-50.2,2621.44
-50.1,2611.21
-50,2601
-49.9,2590.81
-49.8,2580.64
-49.7,2570.49
-49.6,2560.36
-49.5,2550.25
-49.4,2540.16
-49.3,2530.09
-49.2,2520.04
-49.1,2510.01
-49,2500
-48.9,2490.01
-48.8,2480.04
-48.7,2470.09
-48.6,2460.16
-48.5,2450.25
-48.4,2440.36
-48.3,2430.49
-48.2,2420.64
-48.1,2410.81
-48,2401
-47.9,2391.21
-47.8,2381.44
-47.7,2371.69
-47.6,2361.96
-47.5,2352.25
-47.4,2342.56
-47.3,2332.89
-47.2,2323.24
-47.1,2313.61
-47,2304
-46.9,2294.41
-46.8,2284.84
-46.7,2275.29
-46.6,2265.76
-46.5,2256.25
-46.4,2246.76
-46.3,2237.29
-46.2,2227.84
-46.1,2218.41
-46,2209
-45.9,2199.61
-45.8,2190.24
-45.7,2180.89
-45.6,2171.56
-45.5,2162.25
-45.4,2152.96
-45.3,2143.69
-45.2,2134.44
-45.1,2125.21
-45,2116
-44.9,2106.81
-44.8,2097.64
-44.7,2088.49
-44.6,2079.36
-44.5,2070.25
-44.4,2061.16
-44.3,2052.09
-44.2,2043.04
-44.1,2034.01
-44,2025
-43.9,2016.01
-43.8,2007.04
-43.7,1998.09
-43.6,1989.16
-43.5,1980.25
-43.4,1971.36
-43.3,1962.49
-43.2,1953.64
-43.1,1944.81
-43,1936
-42.9,1927.21
-42.8,1918.44
-42.7,1909.69
-42.6,1900.96
-42.5,1892.25
-42.4,1883.56
-42.3,1874.89
-42.2,1866.24
-42.1,1857.61
-42,1849
-41.9,1840.41
-41.8,1831.84
-41.7,1823.29
-41.6,1814.76
-41.5,1806.25
-41.4,1797.76
-41.3,1789.29
-41.2,1780.84
-41.1,1772.41
-41,1764
-40.9,1755.61
-40.8,1747.24
-40.7,1738.89
-40.6,1730.56
-40.5,1722.25
-40.4,1713.96
-40.3,1705.69
-40.2,1697.44
-40.1,1689.21
-40,1681
-39.9,1672.81
-39.8,1664.64
-39.7,1656.49
-39.6,1648.36
-39.5,1640.25
-39.4,1632.16
-39.3,1624.09
-39.2,1616.04
-39.1,1608.01
-39,1600
-38.9,1592.01
-38.8,1584.04
-38.7,1576.09
-38.6,1568.16
-38.5,1560.25
-38.4,1552.36
-38.3,1544.49
-38.2,1536.64
-38.1,1528.81
-38,1521
-37.9,1513.21
-37.8,1505.44
-37.7,1497.69
-37.6,1489.96
-37.5,1482.25
-37.4,1474.56
-37.3,1466.89
-37.2,1459.24
-37.1,1451.61
-37,1444
-36.9,1436.41
-36.8,1428.84
-36.7,1421.29
-36.6,1413.76
-36.5,1406.25
-36.4,1398.76
-36.3,1391.29
-36.2,1383.84
-36.1,1376.41
-36,1369
-35.9,1361.61
-35.8,1354.24
-35.7,1346.89
-35.6,1339.56
-35.5,1332.25
-35.4,1324.96
-35.3,1317.69
-35.2,1310.44
-35.1,1303.21
-35,1296
-34.9,1288.81
-34.8,1281.64
-34.7,1274.49
-34.6,1267.36
-34.5,1260.25
-34.4,1253.16
-34.3,1246.09
-34.2,1239.04
-34.1,1232.01
-34,1225
-33.9,1218.01
-33.8,1211.04
-33.7,1204.09
-33.6,1197.16
-33.5,1190.25
-33.4,1183.36
-33.3,1176.49
-33.2,1169.64
-33.1,1162.81
-33,1156
-32.9,1149.21
-32.8,1142.44
-32.7,1135.69
-32.6,1128.96
-32.5,1122.25
-32.4,1115.56
-32.3,1108.89
-32.2,1102.24
-32.1,1095.61
-32,1089
-31.9,1082.41
-31.8,1075.84
-31.7,1069.29
-31.6,1062.76
-31.5,1056.25
-31.4,1049.76
-31.3,1043.29
-31.2,1036.84
-31.1,1030.41
-31,1024
-30.9,1017.61
-30.8,1011.24
-30.7,1004.89
-30.6,998.56
-30.5,992.25
-30.4,985.96
-30.3,979.69
-30.2,973.44
-30.1,967.21
-30,961
-29.9,954.81
-29.8,948.64
-29.7,942.49
-29.6,936.36
-29.5,930.25
-29.4,924.16
-29.3,918.09
-29.2,912.04
-29.1,906.01
-29,900
-28.9,894.01
-28.8,888.04
-28.7,882.09
-28.6,876.16
-28.5,870.25
-28.4,864.36
-28.3,858.49
-28.2,852.64
-28.1,846.81
-28,841
-27.9,835.21
-27.8,829.44
-27.7,823.69
-27.6,817.96
-27.5,812.25
-27.4,806.56
-27.3,800.89
-27.2,795.24
-27.1,789.61
-27,784
-26.9,778.41
-26.8,772.84
-26.7,767.29
-26.6,761.76
-26.5,756.25
-26.4,750.76
-26.3,745.29
-26.2,739.84
-26.1,734.41
-26,729
-25.9,723.61
-25.8,718.24
-25.7,712.89
-25.6,707.56
-25.5,702.25
-25.4,696.96
-25.3,691.69
-25.2,686.44
-25.1,681.21
-25,676
-24.9,670.81
-24.8,665.64
-24.7,660.49
-24.6,655.36
-24.5,650.25
-24.4,645.16
-24.3,640.09
-24.2,635.04
-24.1,630.01
-24,625
-23.9,620.01
-23.8,615.04
-23.7,610.09
-23.6,605.16
-23.5,600.25
-23.4,595.36
-23.3,590.49
-23.2,585.64
-23.1,580.81
-23,576
-22.9,571.21
-22.8,566.44
-22.7,561.69
-22.6,556.96
-22.5,552.25
-22.4,547.56
-22.3,542.89
-22.2,538.24
-22.1,533.61
-22,529
-21.9,524.41
-21.8,519.84
-21.7,515.29
-21.6,510.76
-21.5,506.25
-21.4,501.76
-21.3,497.29
-21.2,492.84
-21.1,488.41
-21,484
-20.9,479.61
-20.8,475.24
-20.7,470.89
-20.6,466.56
-20.5,462.25
-20.4,457.96
-20.3,453.69
-20.2,449.44
-20.1,445.21
-20,441
-19.9,436.81
-19.8,432.64
-19.7,428.49
-19.6,424.36
-19.5,420.25
-19.4,416.16
-19.3,412.09
-19.2,408.04
-19.1,404.01
-19,400
-18.9,396.01
-18.8,392.04
-18.7,388.09
-18.6,384.16
-18.5,380.25
-18.4,376.36
-18.3,372.49
-18.2,368.64
-18.1,364.81
-18,361
-17.9,357.21
-17.8,353.44
-17.7,349.69
-17.6,345.96
-17.5,342.25
-17.4,338.56
-17.3,334.89
-17.2,331.24
-17.1,327.61
-17,324
-16.9,320.41
-16.8,316.84
-16.7,313.29
-16.6,309.76
-16.5,306.25
-16.4,302.76
-16.3,299.29
-16.2,295.84
-16.1,292.41
-16,289
-15.9,285.61
-15.8,282.24
-15.7,278.89
-15.6,275.56
-15.5,272.25
-15.4,268.96
-15.3,265.69
-15.2,262.44
-15.1,259.21
-15,256
-14.9,252.81
-14.8,249.64
-14.7,246.49
-14.6,243.36
-14.5,240.25
-14.4,237.16
-14.3,234.09
-14.2,231.04
-14.1,228.01
-14,225
-13.9,222.01
-13.8,219.04
-13.7,216.09
-13.6,213.16
-13.5,210.25
-13.4,207.36
-13.3,204.49
-13.2,201.64
-13.1,198.81
-13,196
-12.9,193.21
-12.8,190.44
-12.7,187.69
-12.6,184.96
-12.5,182.25
-12.4,179.56
-12.3,176.89
-12.2,174.24
-12.1,171.61
-12,169
-11.9,166.41
-11.8,163.84
-11.7,161.29
-11.6,158.76
-11.5,156.25
-11.4,153.76
-11.3,151.29
-11.2,148.84
-11.1,146.41
-11,144
-10.9,141.61
-10.8,139.24
-10.7,136.89
-10.6,134.56
-10.5,132.25
-10.4,129.96
-10.3,127.69
-10.2,125.44
-10.1,123.21
