x,y
-100, 10204.286
-99.9, 10184.56
-99.8, 10165.211
-99.7, 10139.973
-99.6, 10125.293
-99.5, 10102.409
-99.4, 10076.045
-99.3, 10058.633
-99.2, 10040.637
-99.1, 10018.782
-99, 9999.589
-98.9, 9984.055
-98.8, 9964.26
-98.7, 9943.575
-98.6, 9918.019
-98.5, 9898.89
-98.4, 9883.936
-98.3, 9860.191
-98.2, 9839.374
-98.1, 9822.302
-98, 9805.754
-97.9, 9780.65
-97.8, 9757.412
-97.7, 9741.269
-97.6, 9718.452
-97.5, 9704.806
-97.4, 9685.07
-97.3, 9661.129
-97.2, 9642.306
-97.1, 9619.218
-97, 9605.698
-96.9, 9580.583
-96.8, 9566.972
-96.7, 9544.414
-96.6, 9528.645
-96.5, 9508.505
-96.4, 9490.191
-96.3, 9462.827
-96.2, 9450.893
-96.1, 9427.333
-96, 9404.577
-95.9, 9393.5
-95.8, 9374.435
-95.7, 9350.556
-95.6, 9332.864
-95.5, 9313.827
-95.4, 9289.907
-95.3, 9269.889
-95.2, 9252.909
-95.1, 9233.053
-95, 9220.526
-94.9, 9201.058
-94.8, 9182.541
-94.7, 9157.026
-94.6, 9136.873
-94.5, 9115.841
-94.4, 9100.881
-94.3, 9078.784
-94.2, 9062.236
-94.1, 9041.988
-94, 9027.168
-93.9, 9004.973
-93.8, 8990.298
-93.7, 8971.922
-93.6, 8950.327
-93.5, 8933.785
-93.4, 8911.787
-93.3, 8895.807
-93.2, 8872.493
-93.1, 8856.142
-93, 8834.402
-92.9, 8814.428
-92.8, 8797.564
-92.7, 8778.188
-92.6, 8760.766
-92.5, 8742.624
-92.4, 8721.476
-92.3, 8709.808
-92.2, 8682.487
-92.1, 8664.551
-92, 8644.326
-91.9, 8630.836
-91.8, 8614.486
-91.7, 8597.917
-91.6, 8575.759
-91.5, 8553.914
-91.4, 8542.684
-91.3, 8515.528
-91.2, 8504.074
-91.1, 8480.534
-91, 8459.843
-90.9, 8448.965
-90.8, 8426.424
-90.7, 8404.706
-90.6, 8388.943
-90.5, 8371.024
-90.4, 8352.139
-90.3, 8336.898
-90.2, 8320.768
-90.1, 8300.668
-90, 8283.766
-89.9, 8259.431
-89.8, 8242.604
-89.7, 8226.675
-89.6, 8210.677
-89.5, 8193.345
-89.4, 8167.882
-89.3, 8153.907
-89.2, 8138.303
-89.1, 8115.887
-89, 8102.411
-88.9, 8079.183
-88.8, 8061.921
-88.7, 8047.276
-88.6, 8031.455
-88.5, 8012.109
-88.4, 7987.76
-88.3, 7975.115
-88.2, 7953.307
-88.1, 7939.897
-88, 7925.697
-87.9, 7904.973
-87.8, 7889.257
-87.7, 7864.196
-87.6, 7847.242
-87.5, 7836.013
-87.4, 7816.88
-87.3, 7792.285
-87.2, 7779.689
-87.1, 7761.262
-87, 7743.43
-86.9, 7724.557
-86.8, 7712.326
-86.7, 7693.18
-86.6, 7668.798
-86.5, 7655.209
-86.4, 7643.419
-86.3, 7616.47
-86.2, 7602.95
-86.1, 7583.232
-86, 7567.31
-85.9, 7551.758
-85.8, 7531.084
-85.7, 7516.425
-85.6, 7499.435
-85.5, 7485.731
-85.4, 7460.807
-85.3, 7451.954
-85.2, 7433.319
-85.1, 7415.573
-85, 7399.596
-84.9, 7383.214
