x,y
-10, 117.249
-9.9, 117.142
-9.8, 115.8
-9.7, 114.493
-9.6, 112.56
-9.5, 110.994
-9.4, 107.655
-9.3, 105.964
-9.2, 103.666
-9.1, 101.926
-9, 100.277
-8.9, 98.37
-8.8, 96.123
-8.7, 94.267
-8.6, 91.977
-8.5, 90.1
-8.4, 87.998
-8.3, 86.091
-8.2, 84.151
-8.1, 82.444
-8, 80.822
-7.9, 79.968
-7.8, 77.984
-7.7, 76.326
-7.6, 75.189
-7.5, 74.133
-7.4, 72.615
-7.3, 71.263
-7.2, 69.405
-7.1, 68.203
-7, 66.668
-6.9, 63.667
-6.8, 60.804
-6.7, 58.291
-6.6, 56.455
-6.5, 55.381
-6.4, 53.124
-6.3, 52.271
-6.2, 52.036
-6.1, 50.998
-6, 50.698
-5.9, 49.278
-5.8, 47.319
-5.7, 45.459
-5.6, 43.907
-5.5, 42.648
-5.4, 41.015
-5.3, 38.884
-5.2, 37.598
-5.1, 36.568
-5, 35.911
-4.9, 34.858
-4.8, 33.503
-4.7, 32.475
-4.6, 31.605
-4.5, 31.619
-4.4, 30.563
-4.3, 30.075
-4.2, 27.822
-4.1, 26.922
-4, 26.313
-3.9, 25.656
-3.8, 24.449
-3.7, 24.068
-3.6, 22.408
-3.5, 22.718
-3.4, 22.042
-3.3, 21.368
-3.2, 19.373
-3.1, 18.325
-3, 16.921
-2.9, 16.118
-2.8, 14.095
-2.7, 13.029
-2.6, 12.459
-2.5, 12.402
-2.4, 11.175
-2.3, 9.783
-2.2, 9.911
-2.1, 10.035
-2, 9.041
-1.9, 8.012
-1.8, 8.09
-1.7, 7.991
-1.6, 7.818
-1.5, 7.252
-1.4, 7.118
-1.3, 7.117
-1.2, 7.059
-1.1, 6.12
-1, 5.948
-0.9, 6.47
-0.8, 6.018
-0.7, 5.519
-0.6, 4.88
-0.5, 3.944
-0.4, 3.028
-0.3, 2.703
-0.2, 1.538
-0.1, 0.637
-0, 0.755
0.1, 0.838
0.2, 1.645
0.3, 2.462
0.4, 2.153
0.5, 2.804
0.6, 3.064
0.7, 1.938
0.8, 2.098
0.9, 0.877
1, 0.115
1.1, 0.632
1.2, 0.473
1.3, 0.071
1.4, 0.746
1.5, -0.104
1.6, 1.117
1.7, 2.208
1.8, 1.879
1.9, 1.465
2, 1.772
2.1, 1.654
2.2, 2.342
2.3, 1.529
2.4, 1.557
2.5, 2.139
2.6, 2.552
2.7, 3.584
2.8, 4.545
2.9, 4.316
3, 5.552
3.1, 5.2
3.2, 5.068
3.3, 5.662
3.4, 5.117
3.5, 4.717
3.6, 5.181
3.7, 5.171
3.8, 6.255
3.9, 7.211
4, 7.364
4.1, 7.898
4.2, 8.763
4.3, 10.547
4.4, 11.727
4.5, 11.562
4.6, 12.556
4.7, 13.444
4.8, 15.231
4.9, 16.379
5, 15.909
5.1, 16.746
5.2, 17.959
5.3, 18.515
5.4, 19.998
5.5, 20.785
5.6, 21.08
5.7, 22.828
5.8, 24.002
5.9, 25.915
6, 27.134
6.1, 27.55
6.2, 28.657
6.3, 29.925
6.4, 31.364
6.5, 32.357
6.6, 32.627
6.7, 33.673
6.8, 34.431
6.9, 34.565
7, 35.312
7.1, 36.423
7.2, 37.706
7.3, 39.034
7.4, 40.39
7.5, 42.049
7.6, 43.879
7.7, 45.599
7.8, 46.416
7.9, 46.597
8, 47.778
8.1, 49.289
8.2, 51.379
8.3, 53.719
8.4, 55.221
8.5, 57.452
8.6, 60.063
8.7, 61.6
8.8, 62.626
8.9, 64.279
9, 64.963
9.1, 67.364
9.2, 68.641
9.3, 69.829
9.4, 71.956
9.5, 74.066
9.6, 75.343
9.7, 77.665
9.8, 78.153
9.9, 78.85
10, 80.1
