x,y
-10, 113.914
-9.9, 113.417
-9.8, 112.815
-9.7, 112.125
-9.6, 110.856
-9.5, 109.376
-9.4, 107.698
-9.3, 105.837
-9.2, 103.886
-9.1, 101.881
-9, 99.852
-8.9, 97.825
-8.8, 95.807
-8.7, 93.804
-8.6, 91.816
-8.5, 89.842
-8.4, 87.884
-8.3, 85.944
-8.2, 84.025
-8.1, 82.135
-8, 80.279
-7.9, 78.459
-7.8, 76.677
-7.7, 74.931
-7.6, 73.22
-7.5, 71.54
-7.4, 69.889
-7.3, 68.263
-7.2, 66.662
-7.1, 65.084
-7, 63.53
-6.9, 61.998
-6.8, 60.487
-6.7, 58.993
-6.6, 57.515
-6.5, 56.052
-6.4, 54.604
-6.3, 53.171
-6.2, 51.759
-6.1, 50.371
-6, 49.014
-5.9, 47.693
-5.8, 46.411
-5.7, 45.167
-5.6, 43.96
-5.5, 42.784
-5.4, 41.632
-5.3, 40.496
-5.2, 39.365
-5.1, 38.232
-5, 37.092
-4.9, 35.941
-4.8, 34.776
-4.7, 33.597
-4.6, 32.408
-4.5, 31.211
-4.4, 30.01
-4.3, 28.809
-4.2, 27.61
-4.1, 26.418
-4, 25.236
-3.9, 24.069
-3.8, 22.921
-3.7, 21.798
-3.6, 20.707
-3.5, 19.655
-3.4, 18.648
-3.3, 17.692
-3.2, 16.793
-3.1, 15.953
-3, 15.175
-2.9, 14.457
-2.8, 13.798
-2.7, 13.195
-2.6, 12.644
-2.5, 12.137
-2.4, 11.669
-2.3, 11.231
-2.2, 10.811
-2.1, 10.4
-2, 9.983
-1.9, 9.55
-1.8, 9.091
-1.7, 8.598
-1.6, 8.07
-1.5, 7.509
-1.4, 6.923
-1.3, 6.327
-1.2, 5.737
-1.1, 5.172
-1, 4.649
-0.9, 4.182
-0.8, 3.779
-0.7, 3.44
-0.6, 3.159
-0.5, 2.924
-0.4, 2.716
-0.3, 2.517
-0.2, 2.309
-0.1, 2.077
-0, 1.813
0.1, 1.515
0.2, 1.188
0.3, 0.844
0.4, 0.498
0.5, 0.168
0.6, -0.128
0.7, -0.376
0.8, -0.565
0.9, -0.69
1, -0.75
1.1, -0.752
1.2, -0.704
1.3, -0.619
1.4, -0.509
1.5, -0.387
1.6, -0.262
1.7, -0.14
1.8, -0.022
1.9, 0.093
2, 0.21
2.1, 0.337
2.2, 0.481
2.3, 0.65
2.4, 0.849
2.5, 1.083
2.6, 1.35
2.7, 1.65
2.8, 1.98
2.9, 2.335
3, 2.712
3.1, 3.108
3.2, 3.519
3.3, 3.946
3.4, 4.39
3.5, 4.853
3.6, 5.336
3.7, 5.842
3.8, 6.374
3.9, 6.933
4, 7.52
4.1, 8.136
4.2, 8.78
4.3, 9.451
4.4, 10.151
4.5, 10.878
4.6, 11.63
4.7, 12.409
4.8, 13.214
4.9, 14.043
5, 14.897
5.1, 15.775
5.2, 16.679
5.3, 17.608
5.4, 18.564
5.5, 19.548
5.6, 20.559
5.7, 21.596
5.8, 22.656
5.9, 23.736
6, 24.829
6.1, 25.931
6.2, 27.034
6.3, 28.135
6.4, 29.229
6.5, 30.314
6.6, 31.391
6.7, 32.462
6.8, 33.533
6.9, 34.609
7, 35.7
7.1, 36.813
7.2, 37.959
7.3, 39.144
7.4, 40.375
7.5, 41.658
7.6, 42.993
7.7, 44.379
7.8, 45.812
7.9, 47.286
8, 48.791
8.1, 50.317
8.2, 51.854
8.3, 53.392
8.4, 54.925
8.5, 56.446
8.6, 57.953
8.7, 59.445
8.8, 60.922
8.9, 62.386
9, 63.836
9.1, 65.266
9.2, 66.661
9.3, 68.005
9.4, 69.277
9.5, 70.418
9.6, 71.419
9.7, 72.275
9.8, 72.74
9.9, 73.146
10, 73.48
