x,y
-10, 112.309
-9.9, 111.908
-9.8, 111.413
-9.7, 110.837
-9.6, 109.774
-9.5, 108.508
-9.4, 107.043
-9.3, 105.384
-9.2, 103.603
-9.1, 101.73
-9, 99.795
-8.9, 97.826
-8.8, 95.842
-8.7, 93.855
-8.6, 91.876
-8.5, 89.911
-8.4, 87.964
-8.3, 86.038
-8.2, 84.136
-8.1, 82.26
-8, 80.414
-7.9, 78.599
-7.8, 76.816
-7.7, 75.065
-7.6, 73.345
-7.5, 71.656
-7.4, 69.996
-7.3, 68.364
-7.2, 66.758
-7.1, 65.176
-7, 63.616
-6.9, 62.078
-6.8, 60.56
-6.7, 59.061
-6.6, 57.581
-6.5, 56.119
-6.4, 54.678
-6.3, 53.258
-6.2, 51.861
-6.1, 50.49
-6, 49.147
-5.9, 47.834
-5.8, 46.551
-5.7, 45.298
-5.6, 44.073
-5.5, 42.873
-5.4, 41.692
-5.3, 40.525
-5.2, 39.367
-5.1, 38.213
-5, 37.058
-4.9, 35.899
-4.8, 34.733
-4.7, 33.56
-4.6, 32.38
-4.5, 31.196
-4.4, 30.008
-4.3, 28.821
-4.2, 27.638
-4.1, 26.462
-4, 25.298
-3.9, 24.151
-3.8, 23.025
-3.7, 21.927
-3.6, 20.861
-3.5, 19.832
-3.4, 18.847
-3.3, 17.909
-3.2, 17.021
-3.1, 16.188
-3, 15.409
-2.9, 14.684
-2.8, 14.013
-2.7, 13.392
-2.6, 12.817
-2.5, 12.281
-2.4, 11.779
-2.3, 11.301
-2.2, 10.839
-2.1, 10.385
-2, 9.928
-1.9, 9.463
-1.8, 8.983
-1.7, 8.485
-1.6, 7.969
-1.5, 7.438
-1.4, 6.899
-1.3, 6.359
-1.2, 5.83
-1.1, 5.32
-1, 4.841
-0.9, 4.399
-0.8, 3.998
-0.7, 3.638
-0.6, 3.316
-0.5, 3.025
-0.4, 2.757
-0.3, 2.5
-0.2, 2.245
-0.1, 1.985
-0, 1.715
0.1, 1.433
0.2, 1.142
0.3, 0.849
0.4, 0.561
0.5, 0.289
0.6, 0.043
0.7, -0.169
0.8, -0.338
0.9, -0.461
1, -0.538
1.1, -0.569
1.2, -0.56
1.3, -0.516
1.4, -0.446
1.5, -0.356
1.6, -0.252
1.7, -0.138
1.8, -0.016
1.9, 0.114
2, 0.253
2.1, 0.404
2.2, 0.572
2.3, 0.759
2.4, 0.971
2.5, 1.208
2.6, 1.472
2.7, 1.764
2.8, 2.082
2.9, 2.425
3, 2.792
3.1, 3.18
3.2, 3.589
3.3, 4.018
3.4, 4.467
3.5, 4.937
3.6, 5.428
3.7, 5.941
3.8, 6.479
3.9, 7.042
4, 7.631
4.1, 8.247
4.2, 8.891
4.3, 9.561
4.4, 10.259
4.5, 10.983
4.6, 11.734
4.7, 12.512
4.8, 13.314
4.9, 14.143
5, 14.997
5.1, 15.877
5.2, 16.782
5.3, 17.713
5.4, 18.67
5.5, 19.651
5.6, 20.656
5.7, 21.682
5.8, 22.727
5.9, 23.788
6, 24.862
6.1, 25.943
6.2, 27.03
6.3, 28.118
6.4, 29.207
6.5, 30.294
6.6, 31.381
6.7, 32.47
6.8, 33.564
6.9, 34.67
7, 35.791
7.1, 36.936
7.2, 38.109
7.3, 39.317
7.4, 40.564
7.5, 41.851
7.6, 43.181
7.7, 44.553
7.8, 45.962
7.9, 47.405
8, 48.875
8.1, 50.365
8.2, 51.869
8.3, 53.38
8.4, 54.892
8.5, 56.4
8.6, 57.899
8.7, 59.386
8.8, 60.855
8.9, 62.303
9, 63.719
9.1, 65.095
9.2, 66.412
9.3, 67.653
9.4, 68.801
9.5, 69.808
9.6, 70.674
9.7, 71.399
9.8, 71.791
9.9, 72.126
10, 72.398
