x,y
-10, 109.824
-9.9, 109.522
-9.8, 109.143
-9.7, 108.694
-9.6, 107.862
-9.5, 106.85
-9.4, 105.654
-9.3, 104.27
-9.2, 102.748
-9.1, 101.108
-9, 99.373
-8.9, 97.568
-8.8, 95.713
-8.7, 93.826
-8.6, 91.922
-8.5, 90.012
-8.4, 88.106
-8.3, 86.212
-8.2, 84.334
-8.1, 82.477
-8, 80.644
-7.9, 78.836
-7.8, 77.056
-7.7, 75.304
-7.6, 73.579
-7.5, 71.883
-7.4, 70.214
-7.3, 68.571
-7.2, 66.954
-7.1, 65.361
-7, 63.793
-6.9, 62.248
-6.8, 60.725
-6.7, 59.225
-6.6, 57.747
-6.5, 56.291
-6.4, 54.858
-6.3, 53.448
-6.2, 52.062
-6.1, 50.7
-6, 49.363
-5.9, 48.049
-5.8, 46.759
-5.7, 45.491
-5.6, 44.243
-5.5, 43.015
-5.4, 41.802
-5.3, 40.602
-5.2, 39.412
-5.1, 38.23
-5, 37.053
-4.9, 35.879
-4.8, 34.706
-4.7, 33.534
-4.6, 32.363
-4.5, 31.193
-4.4, 30.026
-4.3, 28.865
-4.2, 27.711
-4.1, 26.568
-4, 25.439
-3.9, 24.329
-3.8, 23.242
-3.7, 22.182
-3.6, 21.153
-3.5, 20.159
-3.4, 19.203
-3.3, 18.288
-3.2, 17.417
-3.1, 16.59
-3, 15.808
-2.9, 15.071
-2.8, 14.377
-2.7, 13.723
-2.6, 13.106
-2.5, 12.521
-2.4, 11.964
-2.3, 11.429
-2.2, 10.91
-2.1, 10.403
-2, 9.903
-1.9, 9.406
-1.8, 8.91
-1.7, 8.413
-1.6, 7.917
-1.5, 7.421
-1.4, 6.929
-1.3, 6.444
-1.2, 5.97
-1.1, 5.51
-1, 5.068
-0.9, 4.647
-0.8, 4.248
-0.7, 3.871
-0.6, 3.516
-0.5, 3.18
-0.4, 2.862
-0.3, 2.557
-0.2, 2.264
-0.1, 1.98
-0, 1.704
0.1, 1.436
0.2, 1.176
0.3, 0.927
0.4, 0.692
0.5, 0.475
0.6, 0.278
0.7, 0.106
0.8, -0.038
0.9, -0.152
1, -0.235
1.1, -0.286
1.2, -0.308
1.3, -0.301
1.4, -0.267
1.5, -0.209
1.6, -0.13
1.7, -0.031
1.8, 0.086
1.9, 0.22
2, 0.371
2.1, 0.539
2.2, 0.725
2.3, 0.931
2.4, 1.156
2.5, 1.402
2.6, 1.67
2.7, 1.961
2.8, 2.275
2.9, 2.612
3, 2.972
3.1, 3.355
3.2, 3.761
3.3, 4.19
3.4, 4.641
3.5, 5.115
3.6, 5.612
3.7, 6.132
3.8, 6.677
3.9, 7.246
4, 7.84
4.1, 8.459
4.2, 9.104
4.3, 9.774
4.4, 10.471
4.5, 11.195
4.6, 11.944
4.7, 12.719
4.8, 13.521
4.9, 14.348
5, 15.201
5.1, 16.078
5.2, 16.98
5.3, 17.906
5.4, 18.854
5.5, 19.824
5.6, 20.814
5.7, 21.822
5.8, 22.846
5.9, 23.885
6, 24.936
6.1, 25.998
6.2, 27.068
6.3, 28.147
6.4, 29.233
6.5, 30.328
6.6, 31.43
6.7, 32.543
6.8, 33.669
6.9, 34.81
7, 35.97
7.1, 37.151
7.2, 38.356
7.3, 39.589
7.4, 40.851
7.5, 42.143
7.6, 43.465
7.7, 44.818
7.8, 46.198
7.9, 47.603
8, 49.031
8.1, 50.476
8.2, 51.933
8.3, 53.399
8.4, 54.866
8.5, 56.328
8.6, 57.78
8.7, 59.212
8.8, 60.616
8.9, 61.982
9, 63.298
9.1, 64.551
9.2, 65.727
9.3, 66.809
9.4, 67.786
9.5, 68.627
9.6, 69.335
9.7, 69.915
9.8, 70.227
9.9, 70.49
10, 70.699
