x,y
-10, 124
-9.9, 116.09
-9.8, 120.287
-9.7, 112.543
-9.6, 113.321
-9.5, 110.341
-9.4, 112.581
-9.3, 106.742
-9.2, 108.872
-9.1, 100.07
-9, 103.8
-8.9, 97.773
-8.8, 94.182
-8.7, 89.868
-8.6, 93.159
-8.5, 87.137
-8.4, 86.849
-8.3, 86.401
-8.2, 88.244
-8.1, 84.907
-8, 79.06
-7.9, 81.118
-7.8, 78.38
-7.7, 77.806
-7.6, 72.289
-7.5, 74.37
-7.4, 67.095
-7.3, 71.921
-7.2, 66.149
-7.1, 66.197
-7, 65.206
-6.9, 58.303
-6.8, 57.649
-6.7, 61.347
-6.6, 59.945
-6.5, 55.853
-6.4, 51.155
-6.3, 48.636
-6.2, 52.29
-6.1, 47.449
-6, 51.276
-5.9, 47.696
-5.8, 44.188
-5.7, 42.001
-5.6, 40.558
-5.5, 39.357
-5.4, 39.728
-5.3, 37.306
-5.2, 41.393
-5.1, 39.423
-5, 39.478
-4.9, 35.965
-4.8, 36.883
-4.7, 29.466
-4.6, 35.186
-4.5, 29.383
-4.4, 28.51
-4.3, 32.375
-4.2, 22.817
-4.1, 22.937
-4, 29.436
-3.9, 24.916
-3.8, 25.531
-3.7, 18.741
-3.6, 20.993
-3.5, 24.257
-3.4, 14.608
-3.3, 21.157
-3.2, 16.512
-3.1, 20.584
-3, 15.535
-2.9, 14.154
-2.8, 11.019
-2.7, 13.269
-2.6, 8.554
-2.5, 8.953
-2.4, 7.524
-2.3, 13.793
-2.2, 7.785
-2.1, 5.002
-2, 10.632
-1.9, 4.655
-1.8, 10.723
-1.7, 7.266
-1.6, 6.045
-1.5, 9.823
-1.4, 10.382
-1.3, 8.042
-1.2, 0.135
-1.1, 8.938
-1, 5.652
-0.9, 2.092
-0.8, 7.236
-0.7, 4.451
-0.6, 1.532
-0.5, -0.262
-0.4, 3.548
-0.3, -1.858
-0.2, -0.168
-0.1, 3.741
-0, 5.633
0.1, 1.053
0.2, 2.64
0.3, 2.307
0.4, -1.653
0.5, -1.211
0.6, -4.571
0.7, 2.332
0.8, 1.775
0.9, 2.316
1, 3.994
1.1, 4.145
1.2, -0.779
1.3, 2.959
1.4, -0.407
1.5, 1.438
1.6, -1.353
1.7, -0.91
1.8, -0.343
1.9, -2.206
2, -1.928
2.1, 1.194
2.2, -2.802
2.3, 4.302
2.4, 1.413
2.5, 1.424
2.6, 0.659
2.7, 1.122
2.8, 4.977
2.9, 3.554
3, 7.383
3.1, -0.484
3.2, 6.419
3.3, 9.328
3.4, 8.082
3.5, 9.878
3.6, 7.346
3.7, 7.588
3.8, 6.726
3.9, 5.608
4, 7.94
4.1, 13.291
4.2, 10.166
4.3, 12.271
4.4, 7.006
4.5, 14.539
4.6, 14.411
4.7, 16.428
4.8, 13.647
4.9, 17.103
5, 20.008
5.1, 18.771
5.2, 17.421
5.3, 17.542
5.4, 17.243
5.5, 21.752
5.6, 22.273
5.7, 18.014
5.8, 22.974
5.9, 22.75
6, 25.797
6.1, 28.128
6.2, 24.858
6.3, 30.025
6.4, 29.457
6.5, 31.777
6.6, 35.42
6.7, 30.176
6.8, 37.28
6.9, 29.811
7, 37.981
7.1, 32.654
7.2, 40.231
7.3, 42.598
7.4, 38.82
7.5, 38.98
7.6, 40.983
7.7, 40.049
7.8, 45.076
7.9, 51.754
8, 49.14
8.1, 50.554
8.2, 55.915
8.3, 51.294
8.4, 50.067
8.5, 54.366
8.6, 55.258
8.7, 55.783
8.8, 61.47
8.9, 61.501
9, 67.966
9.1, 64.201
9.2, 70.6
9.3, 68.935
9.4, 67.802
9.5, 69.957
9.6, 71.544
9.7, 77.019
9.8, 74.727
9.9, 77.177
10, 76.427
