x,y
-10, 126.305
-9.9, 121.577
-9.8, 115.8
-9.7, 116.856
-9.6, 112.996
-9.5, 108.696
-9.4, 107.214
-9.3, 100.161
-9.2, 116.745
-9.1, 101.3
-9, 89.559
-8.9, 97.123
-8.8, 94.573
-8.7, 86.998
-8.6, 84.267
-8.5, 87.292
-8.4, 83.125
-8.3, 77.974
-8.2, 80.44
-8.1, 90.577
-8, 78.223
-7.9, 87.799
-7.8, 71.254
-7.7, 69.245
-7.6, 67.847
-7.5, 82.637
-7.4, 71.018
-7.3, 76.388
-7.2, 75.073
-7.1, 67.876
-7, 64.974
-6.9, 69.227
-6.8, 73.212
-6.7, 59.898
-6.6, 62.557
-6.5, 46.046
-6.4, 44.486
-6.3, 52.352
-6.2, 51.907
-6.1, 41.932
-6, 56.039
-5.9, 56.864
-5.8, 48.868
-5.7, 50.752
-5.6, 43.156
-5.5, 39.651
-5.4, 37.737
-5.3, 39.062
-5.2, 38.845
-5.1, 27.917
-5, 43.299
-4.9, 21.809
-4.8, 31.896
-4.7, 33.337
-4.6, 34.577
-4.5, 39.772
-4.4, 21.721
-4.3, 24.245
-4.2, 39.913
-4.1, 34.762
-4, 28.037
-3.9, 13.409
-3.8, 20.725
-3.7, 30.564
-3.6, 26.617
-3.5, 24.458
-3.4, 17.389
-3.3, 15.529
-3.2, 18.88
-3.1, 17.211
-3, 15.241
-2.9, 6.591
-2.8, 13.188
-2.7, 20.174
-2.6, 11.73
-2.5, 4.258
-2.4, 9.115
-2.3, 17.542
-2.2, 17.154
-2.1, 3.881
-2, 2.904
-1.9, 17.946
-1.8, 1.301
-1.7, 0.163
-1.6, 2.659
-1.5, 13.108
-1.4, 6.613
-1.3, -0.532
-1.2, 5.586
-1.1, 6.382
-1, 15.277
-0.9, 8.073
-0.8, 6.822
-0.7, 3.911
-0.6, 12.764
-0.5, 3.919
-0.4, 10.06
-0.3, -5.153
-0.2, -5.957
-0.1, -5.063
-0, -5.765
0.1, -8.282
0.2, 0.682
0.3, -1.743
0.4, 8.103
0.5, -2.413
0.6, -2.397
0.7, 2.037
0.8, -4.517
0.9, 3.193
1, 7.154
1.1, -5.237
1.2, -11.641
1.3, -5.333
1.4, -4.443
1.5, 6.129
1.6, -7.144
1.7, 10.853
1.8, 2.605
1.9, -1.343
2, 14.411
2.1, -1.426
2.2, -10.31
2.3, 0.286
2.4, -6.846
2.5, 4.414
2.6, 3.995
2.7, 15.151
2.8, 8.68
2.9, 2.859
3, -2.259
3.1, 12.656
3.2, -5.019
3.3, 12.692
3.4, 0.976
3.5, 3.851
3.6, 11.343
3.7, -3.308
3.8, 4.399
3.9, 8.883
4, 13.454
4.1, 3.647
4.2, 5.108
4.3, 10.022
4.4, 0.932
4.5, 6.672
4.6, 23.08
4.7, 21.464
4.8, 2.741
4.9, 27.694
5, 19.464
5.1, 9.691
5.2, 20.816
5.3, 14.798
5.4, 19.545
5.5, 26.726
5.6, 14.396
5.7, 26.905
5.8, 23.4
5.9, 23.091
6, 33.223
6.1, 38.927
6.2, 35.906
6.3, 27.726
6.4, 26.876
6.5, 30.208
6.6, 24.811
6.7, 28.435
6.8, 29.999
6.9, 29.621
7, 31.083
7.1, 28.776
7.2, 39.203
7.3, 42.209
7.4, 39.679
7.5, 45.502
7.6, 36.772
7.7, 54.722
7.8, 41.263
7.9, 44.845
8, 39.184
8.1, 50.75
8.2, 46.202
8.3, 46.049
8.4, 54.713
8.5, 60.549
8.6, 71.411
8.7, 56.592
8.8, 64.121
8.9, 55.827
9, 68.33
9.1, 65.52
9.2, 61.56
9.3, 76.06
9.4, 66.398
9.5, 69.254
9.6, 69.45
9.7, 69.965
9.8, 80.996
9.9, 78.053
10, 91.088
