x,y
-10, 204.721
-9.9, 96.848
-9.8, 88.302
-9.7, 26.222
-9.6, 13.284
-9.5, 161.057
-9.4, 158.11
-9.3, 105.121
-9.2, 95.671
-9.1, 35.743
-9, 112.4
-8.9, 77.319
-8.8, 155.857
-8.7, 20.623
-8.6, 113.02
-8.5, 74.252
-8.4, 11.291
-8.3, 105.117
-8.2, 86.019
-8.1, 28.952
-8, 109.662
-7.9, 107.395
-7.8, 119.55
-7.7, 31.448
-7.6, 107.397
-7.5, 86.262
-7.4, -8.632
-7.3, 41.604
-7.2, 30.814
-7.1, -33.369
-7, 68.061
-6.9, 75.23
-6.8, 97.353
-6.7, 46.039
-6.6, 27.727
-6.5, 84.175
-6.4, -13.04
-6.3, -17.272
-6.2, 123.64
-6.1, -37.773
-6, 22.681
-5.9, 5.029
-5.8, 28.511
-5.7, 26.068
-5.6, -55.318
-5.5, 27.309
-5.4, 77.255
-5.3, -55.869
-5.2, -56.6
-5.1, 109.506
-5, -39.218
-4.9, 16.091
-4.8, -44.835
-4.7, 55.271
-4.6, 14.114
-4.5, -58.121
-4.4, 117.65
-4.3, 108.005
-4.2, -10.785
-4.1, -38.529
-4, -67.356
-3.9, 74.576
-3.8, 6.255
-3.7, 95.326
-3.6, 90.106
-3.5, -16.722
-3.4, 36.564
-3.3, -29.732
-3.2, 70.177
-3.1, -34.434
-3, -13.604
-2.9, -23.299
-2.8, -41.273
-2.7, 40.414
-2.6, 22.656
-2.5, 70.448
-2.4, -12.745
-2.3, 75.582
-2.2, 10.082
-2.1, 6.136
-2, -60.631
-1.9, 1.905
-1.8, 13.947
-1.7, -31.077
-1.6, -46.203
-1.5, -35.329
-1.4, -36.849
-1.3, 57.522
-1.2, -2.204
-1.1, -89.56
-1, -34.34
-0.9, 63.812
-0.8, -14.942
-0.7, -71.839
-0.6, 21.559
-0.5, 93.01
-0.4, -31.386
-0.3, 90.199
-0.2, -11.445
-0.1, -26.769
-0, 51.975
0.1, -28.118
0.2, 20.599
0.3, -85.599
0.4, 30.661
0.5, 67.454
0.6, -77.654
0.7, 93.874
0.8, -98.515
0.9, -34.179
1, -59.477
1.1, -30.264
1.2, 58.392
1.3, 1.221
1.4, 47.8
1.5, -47.332
1.6, 31.355
1.7, -48.015
1.8, -34.369
1.9, 3.35
2, 18.777
2.1, 24.778
2.2, 19.557
2.3, -35.197
2.4, 14.036
2.5, 32.259
2.6, 23.825
2.7, -12.323
2.8, 33.255
2.9, -51.189
3, -48.306
3.1, 61.382
3.2, 14.095
3.3, -87.961
3.4, -36.312
3.5, 25.089
3.6, -25.731
3.7, 26.972
3.8, 38.063
3.9, 100.016
4, -6.263
4.1, 25.413
4.2, -23.897
4.3, -41.954
4.4, -84.087
4.5, -65.358
4.6, -60.552
4.7, 21.602
4.8, -49.035
4.9, 17.691
5, -82.563
5.1, 75.838
5.2, 8.226
5.3, -38.341
5.4, 19.55
5.5, -33.401
5.6, -15.111
5.7, 11.04
5.8, 41.347
5.9, -43.792
6, -5.334
6.1, 69.813
6.2, -38.145
6.3, 14.067
6.4, 32.737
6.5, 129.024
6.6, 96.211
6.7, 130.129
6.8, 42.282
6.9, 115.877
7, -50.607
7.1, 56.753
7.2, -26.915
7.3, 5.827
7.4, -4.767
7.5, 108.016
7.6, 4.134
7.7, -9.039
7.8, 39.445
7.9, -24.499
8, 39.842
8.1, 55.929
8.2, 116.247
8.3, -44.338
8.4, 83.475
8.5, 76.965
8.6, 15.203
8.7, 126.283
8.8, 141.52
8.9, 130.036
9, 138.249
9.1, 58.172
9.2, 119.244
9.3, 70.919
9.4, 46.432
9.5, 3.106
9.6, 130.32
9.7, 33.02
9.8, 171.697
9.9, 160.181
10, 162.384
