x,y
-10, 98.73
-9.9, 98.634
-9.8, 98.511
-9.7, 98.361
-9.6, 98.08
-9.5, 97.728
-9.4, 97.296
-9.3, 96.778
-9.2, 96.18
-9.1, 95.502
-9, 94.746
-8.9, 93.913
-8.8, 93.005
-8.7, 92.023
-8.6, 90.97
-8.5, 89.845
-8.4, 88.653
-8.3, 87.393
-8.2, 86.069
-8.1, 84.682
-8, 83.234
-7.9, 81.729
-7.8, 80.168
-7.7, 78.555
-7.6, 76.893
-7.5, 75.185
-7.4, 73.435
-7.3, 71.649
-7.2, 69.829
-7.1, 67.981
-7, 66.111
-6.9, 64.223
-6.8, 62.323
-6.7, 60.417
-6.6, 58.51
-6.5, 56.609
-6.4, 54.718
-6.3, 52.844
-6.2, 50.992
-6.1, 49.167
-6, 47.373
-5.9, 45.616
-5.8, 43.898
-5.7, 42.223
-5.6, 40.595
-5.5, 39.015
-5.4, 37.486
-5.3, 36.01
-5.2, 34.586
-5.1, 33.217
-5, 31.901
-4.9, 30.64
-4.8, 29.433
-4.7, 28.279
-4.6, 27.178
-4.5, 26.128
-4.4, 25.128
-4.3, 24.177
-4.2, 23.274
-4.1, 22.418
-4, 21.607
-3.9, 20.839
-3.8, 20.114
-3.7, 19.43
-3.6, 18.785
-3.5, 18.177
-3.4, 17.607
-3.3, 17.07
-3.2, 16.567
-3.1, 16.095
-3, 15.653
-2.9, 15.238
-2.8, 14.849
-2.7, 14.483
-2.6, 14.139
-2.5, 13.813
-2.4, 13.505
-2.3, 13.212
-2.2, 12.932
-2.1, 12.661
-2, 12.4
-1.9, 12.144
-1.8, 11.894
-1.7, 11.646
-1.6, 11.399
-1.5, 11.153
-1.4, 10.906
-1.3, 10.658
-1.2, 10.408
-1.1, 10.156
-1, 9.902
-0.9, 9.647
-0.8, 9.392
-0.7, 9.137
-0.6, 8.885
-0.5, 8.635
-0.4, 8.391
-0.3, 8.154
-0.2, 7.926
-0.1, 7.708
-0, 7.503
0.1, 7.313
0.2, 7.138
0.3, 6.982
0.4, 6.844
0.5, 6.726
0.6, 6.629
0.7, 6.554
0.8, 6.501
0.9, 6.469
1, 6.46
1.1, 6.472
1.2, 6.506
1.3, 6.56
1.4, 6.633
1.5, 6.726
1.6, 6.836
1.7, 6.964
1.8, 7.108
1.9, 7.269
2, 7.445
2.1, 7.636
2.2, 7.843
2.3, 8.065
2.4, 8.303
2.5, 8.557
2.6, 8.828
2.7, 9.118
2.8, 9.426
2.9, 9.754
3, 10.104
3.1, 10.477
3.2, 10.874
3.3, 11.296
3.4, 11.745
3.5, 12.221
3.6, 12.726
3.7, 13.261
3.8, 13.826
3.9, 14.422
4, 15.048
4.1, 15.706
4.2, 16.395
4.3, 17.115
4.4, 17.866
4.5, 18.647
4.6, 19.458
4.7, 20.297
4.8, 21.164
4.9, 22.059
5, 22.979
5.1, 23.925
5.2, 24.895
5.3, 25.888
5.4, 26.903
5.5, 27.938
5.6, 28.991
5.7, 30.063
5.8, 31.15
5.9, 32.252
6, 33.366
6.1, 34.49
6.2, 35.623
6.3, 36.762
6.4, 37.905
6.5, 39.048
6.6, 40.191
6.7, 41.329
6.8, 42.46
6.9, 43.581
7, 44.689
7.1, 45.781
7.2, 46.854
7.3, 47.904
7.4, 48.93
7.5, 49.928
7.6, 50.895
7.7, 51.83
7.8, 52.73
7.9, 53.592
8, 54.416
8.1, 55.199
8.2, 55.941
8.3, 56.64
8.4, 57.297
8.5, 57.909
8.6, 58.478
8.7, 59.003
8.8, 59.484
8.9, 59.922
9, 60.318
9.1, 60.672
9.2, 60.984
9.3, 61.256
9.4, 61.489
9.5, 61.681
9.6, 61.836
9.7, 61.958
9.8, 62.023
9.9, 62.076
10, 62.117
