x,y
-10,121
-9.9,118.81
-9.8,116.64
-9.7,114.49
-9.6,112.36
-9.5,110.25
-9.4,108.16
-9.3,106.09
-9.2,104.04
-9.1,102.01
-9,100
-8.9,98.01
-8.8,96.04
-8.7,94.09
-8.6,92.16
-8.5,90.25
-8.4,88.36
-8.3,86.49
-8.2,84.64
-8.1,82.81
-8,81
-7.9,79.21
-7.8,77.44
-7.7,75.69
-7.6,73.96
-7.5,72.25
-7.4,70.56
-7.3,68.89
-7.2,67.24
-7.1,65.61
-7,64
-6.9,62.41
-6.8,60.84
-6.7,59.29
-6.6,57.76
-6.5,56.25
-6.4,54.76
-6.3,53.29
-6.2,51.84
-6.1,50.41
-6,49
-5.9,47.61
-5.8,46.24
-5.7,44.89
-5.6,43.56
-5.5,42.25
-5.4,40.96
-5.3,39.69
-5.2,38.44
-5.1,37.21
-5,36
-4.9,34.81
-4.8,33.64
-4.7,32.49
-4.6,31.36
-4.5,30.25
-4.4,29.16
-4.3,28.09
-4.2,27.04
-4.1,26.01
-4,25
-3.9,24.01
-3.8,23.04
-3.7,22.09
-3.6,21.16
-3.5,20.25
-3.4,19.36
-3.3,18.49
-3.2,17.64
-3.1,16.81
-3,16
-2.9,15.21
-2.8,14.44
-2.7,13.69
-2.6,12.96
-2.5,12.25
-2.4,11.56
-2.3,10.89
-2.2,10.24
-2.1,9.61
-2,9
-1.9,8.41
-1.8,7.84
-1.7,7.29
-1.6,6.76
-1.5,6.25
-1.4,5.76
-1.3,5.29
-1.2,4.84
-1.1,4.41
-1,4
-0.9,3.61
-0.8,3.24
-0.7,2.89
-0.6,2.56
-0.5,2.25
-0.4,1.96
-0.3,1.69
-0.2,1.44
-0.1,1.21
-0,1
0.1,0.81
0.2,0.64
0.3,0.49
0.4,0.36
0.5,0.25
0.6,0.16
0.7,0.09
0.8,0.04
0.9,0.01
1,0
1.1,0.01
1.2,0.04
1.3,0.09
1.4,0.16
1.5,0.25
1.6,0.36
1.7,0.49
1.8,0.64
1.9,0.81
2,1
2.1,1.21
2.2,1.44
2.3,1.69
2.4,1.96
2.5,2.25
2.6,2.56
2.7,2.89
2.8,3.24
2.9,3.61
3,4
3.1,4.41
3.2,4.84
3.3,5.29
3.4,5.76
3.5,6.25
3.6,6.76
3.7,7.29
3.8,7.84
3.9,8.41
4,9
4.1,9.61
4.2,10.24
4.3,10.89
4.4,11.56
4.5,12.25
4.6,12.96
4.7,13.69
4.8,14.44
4.9,15.21
5,16
5.1,16.81
5.2,17.64
5.3,18.49
5.4,19.36
5.5,20.25
5.6,21.16
5.7,22.09
5.8,23.04
5.9,24.01
6,25
6.1,26.01
6.2,27.04
6.3,28.09
6.4,29.16
6.5,30.25
6.6,31.36
6.7,32.49
6.8,33.64
6.9,34.81
7,36
7.1,37.21
7.2,38.44
7.3,39.69
7.4,40.96
7.5,42.25
7.6,43.56
7.7,44.89
7.8,46.24
7.9,47.61
8,49
8.1,50.41
8.2,51.84
8.3,53.29
8.4,54.76
8.5,56.25
8.6,57.76
8.7,59.29
8.8,60.84
8.9,62.41
9,64
9.1,65.61
9.2,67.24
9.3,68.89
9.4,70.56
9.5,72.25
9.6,73.96
9.7,75.69
9.8,77.44
9.9,79.21
10,81
