x,y
-10, 120.089
-9.9, 118.811
-9.8, 120.578
-9.7, 109.519
-9.6, 116.715
-9.5, 109.09
-9.4, 106.647
-9.3, 106.558
-9.2, 107.85
-9.1, 97.208
-9, 97.678
-8.9, 100.629
-8.8, 96.915
-8.7, 95.101
-8.6, 93.21
-8.5, 92.121
-8.4, 84.212
-8.3, 81.651
-8.2, 87.49
-8.1, 82.204
-8, 81.747
-7.9, 79.63
-7.8, 80.173
-7.7, 72.862
-7.6, 75.668
-7.5, 73.604
-7.4, 70.598
-7.3, 73.786
-7.2, 72.239
-7.1, 69.551
-7, 63.396
-6.9, 62.662
-6.8, 65.189
-6.7, 59.855
-6.6, 52.776
-6.5, 52.2
-6.4, 51.962
-6.3, 50.538
-6.2, 55.15
-6.1, 49.39
-6, 53.879
-5.9, 51.134
-5.8, 44.935
-5.7, 49.862
-5.6, 40.597
-5.5, 41.437
-5.4, 36.372
-5.3, 43.012
-5.2, 42.32
-5.1, 33.506
-5, 34.945
-4.9, 31.592
-4.8, 34.23
-4.7, 31.769
-4.6, 35.646
-4.5, 32.831
-4.4, 26.313
-4.3, 28.857
-4.2, 31.685
-4.1, 26.838
-4, 28.354
-3.9, 19.879
-3.8, 26.531
-3.7, 22.047
-3.6, 24.26
-3.5, 23.233
-3.4, 24.17
-3.3, 16.733
-3.2, 22.052
-3.1, 21.799
-3, 17.33
-2.9, 10.295
-2.8, 15.894
-2.7, 14.343
-2.6, 11.112
-2.5, 7.894
-2.4, 14.337
-2.3, 13.335
-2.2, 9.9
-2.1, 7.307
-2, 4.598
-1.9, 12.005
-1.8, 8.761
-1.7, 7.382
-1.6, 6.134
-1.5, 10.443
-1.4, 6.611
-1.3, 3.393
-1.2, 8.04
-1.1, 7.824
-1, 7.374
-0.9, 5.729
-0.8, 3.866
-0.7, 5.409
-0.6, 7.048
-0.5, 4.875
-0.4, 4.334
-0.3, 2.897
-0.2, -0.82
-0.1, -2.548
-0, 3.133
0.1, -1.103
0.2, -1.436
0.3, 5.16
0.4, 3.479
0.5, 4.827
0.6, 3.171
0.7, 0.973
0.8, 3.456
0.9, 0.379
1, -2.718
1.1, 4.601
1.2, -3.722
1.3, -2.161
1.4, 4.589
1.5, 2.346
1.6, -2.438
1.7, 2.01
1.8, -1.353
1.9, 4.824
2, 5.479
2.1, 2.286
2.2, -0.555
2.3, -0.287
2.4, 1.184
2.5, 3.463
2.6, -0.867
2.7, 5.674
2.8, 6.361
2.9, 2.335
3, 6.939
3.1, 7.91
3.2, 1.862
3.3, 7.784
3.4, 3.206
3.5, 5.443
3.6, 6.488
3.7, 3.123
3.8, 5.112
3.9, 5.113
4, 7.712
4.1, 10.796
4.2, 12.135
4.3, 7.558
4.4, 6.861
4.5, 11.164
4.6, 17.601
4.7, 15.977
4.8, 9.639
4.9, 19.091
5, 13.772
5.1, 19.376
5.2, 19.195
5.3, 14.312
5.4, 21.835
5.5, 18.135
5.6, 22.983
5.7, 24.15
5.8, 24.883
5.9, 21.264
6, 26.544
6.1, 30.052
6.2, 31.531
6.3, 31.515
6.4, 27.059
6.5, 32.632
6.6, 30.143
6.7, 36.618
6.8, 37.002
6.9, 33.419
7, 38.838
7.1, 32.362
7.2, 33.576
7.3, 35.369
7.4, 44.393
7.5, 45.987
7.6, 42.713
7.7, 48.328
7.8, 43.98
7.9, 46.381
8, 47.414
8.1, 50.107
8.2, 47.258
8.3, 50.979
8.4, 58.905
8.5, 58.612
8.6, 62.756
8.7, 57.931
8.8, 65.726
8.9, 65.534
9, 61.738
9.1, 66.085
9.2, 70.182
9.3, 67.546
9.4, 74.738
9.5, 74.666
9.6, 73.851
9.7, 76.624
9.8, 80.856
9.9, 79.12
10, 83.799
