x,y
-20, 437.685
-19.9, 433.463
-19.8, 429.045
-19.7, 430.817
-19.6, 428.971
-19.5, 415.341
-19.4, 418.715
-19.3, 408.371
-19.2, 409.109
-19.1, 406.2
-19, 397.497
-18.9, 397.45
-18.8, 395.467
-18.7, 387.496
-18.6, 387.817
-18.5, 376.914
-18.4, 375.971
-18.3, 376.9
-18.2, 372.078
-18.1, 366.999
-18, 360.242
-17.9, 357.113
-17.8, 353.241
-17.7, 348.455
-17.6, 341.424
-17.5, 345.114
-17.4, 342.539
-17.3, 336.275
-17.2, 329.612
-17.1, 327.47
-17, 328.788
-16.9, 319.889
-16.8, 320.571
-16.7, 308.683
-16.6, 309.21
-16.5, 301.968
-16.4, 304.113
-16.3, 301.187
-16.2, 300
-16.1, 293.501
-16, 284.926
-15.9, 287.571
-15.8, 285.958
-15.7, 283.725
-15.6, 274.893
-15.5, 267.903
-15.4, 272.417
-15.3, 269.627
-15.2, 260.056
-15.1, 257.575
-15, 259.455
-14.9, 251.253
-14.8, 247.212
-14.7, 244.034
-14.6, 247.878
-14.5, 235.869
-14.4, 234.866
-14.3, 233.95
-14.2, 228.855
-14.1, 226.116
-14, 220.763
-13.9, 225.902
-13.8, 214.226
-13.7, 214.767
-13.6, 213.517
-13.5, 207.501
-13.4, 202.487
-13.3, 201.392
-13.2, 199.053
-13.1, 200.037
-13, 196.261
-12.9, 194.351
-12.8, 193.444
-12.7, 188.159
-12.6, 180.653
-12.5, 184.845
-12.4, 182.558
-12.3, 176.925
-12.2, 178.296
-12.1, 168.483
-12, 165.457
-11.9, 163.597
-11.8, 166.156
-11.7, 163.789
-11.6, 162.887
-11.5, 156.996
-11.4, 151.163
-11.3, 146.4
-11.2, 144.403
-11.1, 142.919
-11, 146.628
-10.9, 142.297
-10.8, 137.677
-10.7, 140.152
-10.6, 139.033
-10.5, 133.384
-10.4, 131.352
-10.3, 127.965
-10.2, 125.294
-10.1, 123.925
-10, 118.453
-9.9, 122.604
-9.8, 113.88
-9.7, 116.955
-9.6, 110.803
-9.5, 107.265
-9.4, 109.24
-9.3, 105.609
-9.2, 106.165
-9.1, 97.326
-9, 97.97
-8.9, 95.519
-8.8, 98.873
-8.7, 90.179
-8.6, 96.814
-8.5, 90.915
-8.4, 91.65
