x,y
-100, 10158.383
-99.9, 10151.053
-99.8, 10142.74
-99.7, 10133.813
-99.6, 10117.626
-99.5, 10099.934
-99.4, 10080.886
-99.3, 10060.718
-99.2, 10040.652
-99.1, 10020.631
-99, 10000.847
-98.9, 9981.082
-98.8, 9961.247
-98.7, 9941.335
-98.6, 9921.313
-98.5, 9901.357
-98.4, 9881.407
-98.3, 9861.298
-98.2, 9841.14
-98.1, 9821.189
-98, 9801.335
-97.9, 9781.341
-97.8, 9761.328
-97.7, 9741.382
-97.6, 9721.58
-97.5, 9701.858
-97.4, 9682.069
-97.3, 9662.21
-97.2, 9642.598
-97.1, 9623.08
-97, 9603.748
-96.9, 9584.268
-96.8, 9564.954
-96.7, 9545.604
-96.6, 9526.27
-96.5, 9506.882
-96.4, 9487.489
-96.3, 9467.879
-96.2, 9448.532
-96.1, 9429.035
-96, 9409.583
-95.9, 9390.237
-95.8, 9370.779
-95.7, 9351.172
-95.6, 9331.76
-95.5, 9312.312
-95.4, 9292.981
-95.3, 9273.743
-95.2, 9254.539
-95.1, 9235.407
-95, 9216.463
-94.9, 9197.28
-94.8, 9177.953
-94.7, 9158.438
-94.6, 9138.984
-94.5, 9119.553
-94.4, 9100.358
-94.3, 9081.228
-94.2, 9062.369
-94.1, 9043.721
-94, 9025.285
-93.9, 9006.818
-93.8, 8988.34
-93.7, 8969.685
-93.6, 8950.856
-93.5, 8931.875
-93.4, 8912.736
-93.3, 8893.527
-93.2, 8874.243
-93.1, 8855.012
-93, 8835.771
-92.9, 8816.794
-92.8, 8797.897
-92.7, 8779.066
-92.6, 8760.23
-92.5, 8741.497
-92.4, 8722.801
-92.3, 8704.33
-92.2, 8685.667
-92.1, 8667.073
-92, 8648.706
-91.9, 8630.443
-91.8, 8612.244
-91.7, 8593.926
-91.6, 8575.312
-91.5, 8556.847
-91.4, 8538.403
-91.3, 8519.631
-91.2, 8500.903
-91.1, 8482.048
-91, 8463.306
-90.9, 8444.872
-90.8, 8426.41
-90.7, 8407.984
-90.6, 8389.905
-90.5, 8371.766
-90.4, 8353.722
-90.3, 8335.737
-90.2, 8317.686
-90.1, 8299.651
-90, 8281.472
-89.9, 8263.111
-89.8, 8244.921
-89.7, 8226.766
-89.6, 8208.635
-89.5, 8190.397
-89.4, 8172.077
-89.3, 8154.006
-89.2, 8136.086
-89.1, 8118.063
-89, 8100.01
-88.9, 8081.896
-88.8, 8063.897
-88.7, 8046.089
-88.6, 8028.262
-88.5, 8010.352
-88.4, 7992.51
-88.3, 7974.762
-88.2, 7957.002
-88.1, 7939.417
-88, 7921.811
-87.9, 7903.964
-87.8, 7886.142
-87.7, 7868.215
-87.6, 7850.344
-87.5, 7832.58
-87.4, 7814.685
-87.3, 7796.777
-87.2, 7779.07
-87.1, 7761.381
-87, 7743.898
-86.9, 7726.289
-86.8, 7708.702
-86.7, 7691.005
-86.6, 7673.263
-86.5, 7655.653
-86.4, 7638.05
-86.3, 7620.26
-86.2, 7602.673
-86.1, 7585.176
-86, 7567.814
-85.9, 7550.668
-85.8, 7533.492
-85.7, 7516.493
-85.6, 7499.701
-85.5, 7482.925
-85.4, 7465.928
-85.3, 7449.131
-85.2, 7432.147
-85.1, 7415.151
-85, 7398.021
-84.9, 7380.78
-84.8, 7363.388
-84.7, 7346.199
-84.6, 7328.723
-84.5, 7311.306
-84.4, 7293.884
-84.3, 7276.434
-84.2, 7258.985
-84.1, 7241.668
-84, 7224.412
-83.9, 7207.303
-83.8, 7190.225
-83.7, 7173.155
-83.6, 7156.301
-83.5, 7139.563
-83.4, 7122.734
-83.3, 7105.903
-83.2, 7089.152
-83.1, 7072.629
-83, 7056.033
-82.9, 7039.323
-82.8, 7022.527
-82.7, 7005.839
-82.6, 6989.129
-82.5, 6972.485
-82.4, 6955.609
-82.3, 6938.955
-82.2, 6922.289
-82.1, 6905.732
-82, 6889.305
-81.9, 6872.852
-81.8, 6856.368
-81.7, 6839.872
-81.6, 6823.272
-81.5, 6806.851
-81.4, 6790.51
-81.3, 6773.919
-81.2, 6757.283
