x,y
-10, 110.978
-9.9, 110.636
-9.8, 110.21
-9.7, 109.708
-9.6, 108.78
-9.5, 107.661
-9.4, 106.348
-9.3, 104.843
-9.2, 103.203
-9.1, 101.454
-9, 99.621
-8.9, 97.732
-8.8, 95.809
-8.7, 93.866
-8.6, 91.918
-8.5, 89.975
-8.4, 88.045
-8.3, 86.132
-8.2, 84.24
-8.1, 82.374
-8, 80.534
-7.9, 78.722
-7.8, 76.94
-7.7, 75.188
-7.6, 73.465
-7.5, 71.771
-7.4, 70.106
-7.3, 68.468
-7.2, 66.855
-7.1, 65.267
-7, 63.703
-6.9, 62.16
-6.8, 60.639
-6.7, 59.139
-6.6, 57.66
-6.5, 56.202
-6.4, 54.766
-6.3, 53.353
-6.2, 51.963
-6.1, 50.599
-6, 49.261
-5.9, 47.949
-5.8, 46.663
-5.7, 45.402
-5.6, 44.164
-5.5, 42.948
-5.4, 41.748
-5.3, 40.562
-5.2, 39.386
-5.1, 38.216
-5, 37.048
-4.9, 35.881
-4.8, 34.711
-4.7, 33.54
-4.6, 32.365
-4.5, 31.189
-4.4, 30.012
-4.3, 28.839
-4.2, 27.671
-4.1, 26.512
-4, 25.367
-3.9, 24.239
-3.8, 23.134
-3.7, 22.056
-3.6, 21.01
-3.5, 20
-3.4, 19.031
-3.3, 18.106
-3.2, 17.228
-3.1, 16.399
-3, 15.619
-2.9, 14.888
-2.8, 14.205
-2.7, 13.567
-2.6, 12.969
-2.5, 12.407
-2.4, 11.874
-2.3, 11.364
-2.2, 10.87
-2.1, 10.385
-2, 9.903
-1.9, 9.418
-1.8, 8.928
-1.7, 8.431
-1.6, 7.926
-1.5, 7.417
-1.4, 6.906
-1.3, 6.401
-1.2, 5.906
-1.1, 5.428
-1, 4.972
-0.9, 4.543
-0.8, 4.143
-0.7, 3.772
-0.6, 3.428
-0.5, 3.108
-0.4, 2.807
-0.3, 2.519
-0.2, 2.239
-0.1, 1.964
-0, 1.689
0.1, 1.416
0.2, 1.145
0.3, 0.88
0.4, 0.625
0.5, 0.387
0.6, 0.171
0.7, -0.016
0.8, -0.171
0.9, -0.29
1, -0.372
1.1, -0.417
1.2, -0.428
1.3, -0.408
1.4, -0.361
1.5, -0.291
1.6, -0.201
1.7, -0.095
1.8, 0.025
1.9, 0.159
2, 0.307
2.1, 0.47
2.2, 0.65
2.3, 0.849
2.4, 1.068
2.5, 1.311
2.6, 1.576
2.7, 1.866
2.8, 2.181
2.9, 2.519
3, 2.881
3.1, 3.265
3.2, 3.672
3.3, 4.101
3.4, 4.552
3.5, 5.024
3.6, 5.519
3.7, 6.037
3.8, 6.579
3.9, 7.145
4, 7.737
4.1, 8.355
4.2, 8.998
4.3, 9.669
4.4, 10.366
4.5, 11.089
4.6, 11.839
4.7, 12.615
4.8, 13.417
4.9, 14.246
5, 15.099
5.1, 15.979
5.2, 16.883
5.3, 17.812
5.4, 18.766
5.5, 19.741
5.6, 20.738
5.7, 21.755
5.8, 22.788
5.9, 23.836
6, 24.897
6.1, 25.966
6.2, 27.043
6.3, 28.125
6.4, 29.211
6.5, 30.301
6.6, 31.397
6.7, 32.499
6.8, 33.612
6.9, 34.738
7, 35.882
7.1, 37.048
7.2, 38.24
7.3, 39.463
7.4, 40.719
7.5, 42.009
7.6, 43.335
7.7, 44.696
7.8, 46.088
7.9, 47.51
8, 48.955
8.1, 50.421
8.2, 51.9
8.3, 53.388
8.4, 54.879
8.5, 56.367
8.6, 57.846
8.7, 59.31
8.8, 60.752
8.9, 62.162
9, 63.53
9.1, 64.845
9.2, 66.087
9.3, 67.242
9.4, 68.294
9.5, 69.207
9.6, 69.982
9.7, 70.621
9.8, 70.966
9.9, 71.259
10, 71.493
